WEIGHT_EMP,WEIGHT_FUEL,WEIGHT_FULL,MAIN_ENG_F,SECOND_ENG_F,MAIN_BURN,SECOND_BURN,ALL_BURN,vs,hs,angle,lat,alt,acc,fuel,weight,thrust,time
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,0.0,0.0,90.0,0.0,1000.0,0.0,121.0,286.0,0.0,0
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.0003676337262012693,0.0,90.0,0.0,999.9999999166741,0.0,121.0,286.0,0.0,0.00022665457842248413
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.09577939843208363,0.0,90.0,0.0,999.9943658344134,0.0,121.0,286.0,0.0,0.05905018399018719
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.19715439843208366,0.0,90.0,0.0,999.9820436845114,0.0,121.0,286.0,0.0,0.12155018399018719
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.292566163137966,0.0,90.0,0.0,999.9648339102091,0.0,121.0,286.0,0.0,0.1803737134019519
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.393941163137966,0.0,90.0,0.0,999.940212587513,0.0,121.0,286.0,0.0,0.2428737134019519
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.495316163137966,0.0,90.0,0.0,999.9092553273168,0.0,121.0,286.0,0.0,0.3053737134019519
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.5907279278438484,0.0,90.0,0.0,999.8745066256789,0.0,121.0,286.0,0.0,0.3641972428137166
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.6921029278438484,0.0,90.0,0.0,999.8312501926887,0.0,121.0,286.0,0.0,0.4266972428137166
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.7934779278438484,0.0,90.0,0.0,999.7816578221984,0.0,121.0,286.0,0.0,0.4891972428137166
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.8948529278438484,0.0,90.0,0.0,999.7257295142082,0.0,121.0,286.0,0.0,0.5516972428137166
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.9902646925497307,0.0,90.0,0.0,999.6674786499406,0.0,121.0,286.0,0.0,0.6105207722254813
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.085676457255613,0.0,90.0,0.0,999.6036153289256,0.0,121.0,286.0,0.0,0.669344301637246
