WEIGHT_EMP,WEIGHT_FUEL,WEIGHT_FULL,MAIN_ENG_F,SECOND_ENG_F,MAIN_BURN,SECOND_BURN,ALL_BURN,vs,hs,angle,lat,alt,acc,fuel,weight,thrust,time
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,0.0,0.0,90.0,0.0,1000.0,0.0,121.0,286.0,0.0,0.0
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.0001094097807757167,0.0,90.0,0.0,999.9999999926199,0.0,121.0,286.0,0.0,6.745362563237774e-05
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.10148440978077572,0.0,90.0,0.0,999.9936572170086,0.0,121.0,286.0,0.0,0.06256745362563237
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.2028594097807757,0.0,90.0,0.0,999.9809785038973,0.0,121.0,286.0,0.0,0.12506745362563237
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.3042344097807757,0.0,90.0,0.0,999.961963853286,0.0,121.0,286.0,0.0,0.18756745362563237
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.39964617448665807,0.0,90.0,0.0,999.9384552547867,0.0,121.0,286.0,0.0,0.2463909830373971
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.5010211744866581,0.0,90.0,0.0,999.9071414313813,0.0,121.0,286.0,0.0,0.3088909830373971
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.5964329391925405,0.0,90.0,0.0,999.8720571408405,0.0,121.0,286.0,0.0,0.3677145124491618
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.6978079391925405,0.0,90.0,0.0,999.828444144641,0.0,121.0,286.0,0.0,0.4302145124491618
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.7932197038984228,0.0,90.0,0.0,999.7817841620588,0.0,121.0,286.0,0.0,0.48903804186092653
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.8945947038984228,0.0,90.0,0.0,999.7258719930651,0.0,121.0,286.0,0.0,0.5515380418609266
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.9900064686043051,0.0,90.0,0.0,999.6676363184413,0.0,121.0,286.0,0.0,0.6103615712726913
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.0854182333101874,0.0,90.0,0.0,999.6037881870701,0.0,121.0,286.0,0.0,0.669185100684456
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.1867932333101874,0.0,90.0,0.0,999.5296136099882,0.0,121.0,286.0,0.0,0.731685100684456
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.2881682333101874,0.0,90.0,0.0,999.4491030954064,0.0,121.0,286.0,0.0,0.794185100684456
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.3895432333101874,0.0,90.0,0.0,999.3622566433245,0.0,121.0,286.0,0.0,0.856685100684456
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.4909182333101874,0.0,90.0,0.0,999.2690742537426,0.0,121.0,286.0,0.0,0.919185100684456
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.5863299980160697,0.0,90.0,0.0,999.1757607244475,0.0,121.0,286.0,0.0,0.9780086300962207
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.681741762721952,0.0,90.0,0.0,999.0768347384051,0.0,121.0,286.0,0.0,1.0368321595079855
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.7771535274278343,0.0,90.0,0.0,998.9722962956153,0.0,121.0,286.0,0.0,1.0956556889197502
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.8725652921337166,0.0,90.0,0.0,998.862145396078,0.0,121.0,286.0,0.0,1.154479218331515
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.967977056839599,0.0,90.0,0.0,998.7463820397933,0.0,121.0,286.0,0.0,1.2133027477432796
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.063388821545481,0.0,90.0,0.0,998.6250062267612,0.0,121.0,286.0,0.0,1.2721262771550443
