WEIGHT_EMP,WEIGHT_FUEL,WEIGHT_FULL,MAIN_ENG_F,SECOND_ENG_F,MAIN_BURN,SECOND_BURN,ALL_BURN,vs,hs,angle,lat,alt,acc,fuel,weight,thrust,time
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,0.0,0.0,90.0,0.0,1000.0,0.0,121.0,286.0,0.0,0
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.0002880483040312556,0.0,90.0,0.0,999.9999999488459,0.0,121.0,286.0,0.0,0.0001775883502042266
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.09569981300991362,0.0,90.0,0.0,999.9943705480806,0.0,121.0,286.0,0.0,0.05900111776196893
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.19111157771579598,0.0,90.0,0.0,999.9831286905679,0.0,121.0,286.0,0.0,0.11782464717373364
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.2865233424216783,0.0,90.0,0.0,999.9662743763079,0.0,121.0,286.0,0.0,0.17664817658549836
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.3878983424216783,0.0,90.0,0.0,999.9420307299065,0.0,121.0,286.0,0.0,0.23914817658549836
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.4892733424216783,0.0,90.0,0.0,999.9114511460051,0.0,121.0,286.0,0.0,0.30164817658549836
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.5906483424216783,0.0,90.0,0.0,999.8745356246037,0.0,121.0,286.0,0.0,0.36414817658549836
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.6920233424216783,0.0,90.0,0.0,999.8312841657023,0.0,121.0,286.0,0.0,0.42664817658549836
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.7933983424216783,0.0,90.0,0.0,999.781696769301,0.0,121.0,286.0,0.0,0.48914817658549836
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.8947733424216783,0.0,90.0,0.0,999.7257734353997,0.0,121.0,286.0,0.0,0.5516481765854984
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-0.9961483424216783,0.0,90.0,0.0,999.6635141639983,0.0,121.0,286.0,0.0,0.6141481765854984
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.0975233424216784,0.0,90.0,0.0,999.594918955097,0.0,121.0,286.0,0.0,0.6766481765854984
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.1988983424216784,0.0,90.0,0.0,999.5199878086956,0.0,121.0,286.0,0.0,0.7391481765854984
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.3002733424216784,0.0,90.0,0.0,999.4387207247943,0.0,121.0,286.0,0.0,0.8016481765854984
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.3956851071275607,0.0,90.0,0.0,999.3566216008456,0.0,121.0,286.0,0.0,0.8604717059972631
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.4970601071275607,0.0,90.0,0.0,999.2630553441502,0.0,121.0,286.0,0.0,0.9229717059972631
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.592471871833443,0.0,90.0,0.0,999.16938052816,0.0,121.0,286.0,0.0,0.9817952354090278
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.6878836365393253,0.0,90.0,0.0,999.0700932554224,0.0,121.0,286.0,0.0,1.0406187648207925
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.7892586365393253,0.0,90.0,0.0,998.9582645906387,0.0,121.0,286.0,0.0,1.1031187648207925
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.8846704012452076,0.0,90.0,0.0,998.8474016258596,0.0,121.0,286.0,0.0,1.1619422942325572
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-1.9860454012452076,0.0,90.0,0.0,998.7232737882817,0.0,121.0,286.0,0.0,1.2244422942325572
165.0,420.0,585.0,430.0,25.0,0.15,0.009,0.22199999999999998,-2.08145716595109,0.0,90.0,0.0,998.600835131461,0.0,121.0,286.0,0.0,1.283265823644322
